"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2440013467.71494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",314567836.995815,84058898.5065937,134.42215068006,2797996.6961192,0,9522546.21918166,110427.767614103,991620.752265021,0,190349643.937362,38724.7685597534,6445988.11195582,530429.815465193,19536404.7638829,0,184987.269451269
"building_commercial_innercity",14375825.3356552,707415.219627142,26798.8111215681,71207.0338605046,14795.78132613,1641940.08141041,53212.7351976633,2073.88968949299,3038330.78428841,7281598.84771729,93.1523271699552,43688.4756579995,25738.6781771034,550844.629595757,206115.828604698,711965.803186893
"building_highrise",2242074.01182556,42886.0561578274,1050.45675605536,569.347181288525,0,169266.539032459,4515.01668174565,6495.18460956216,0,1867328.44984818,0,5224.25653116405,1900.32178637385,115484.082572937,3177.52336833626,24176.887196362
"building_lightweight",85258904.2293079,0,978170.222920008,1326174.71681197,0,6318610.61191586,0,0,0,64359905.6855965,0,0,0,8096248.76656684,0,4179800.13737375
"building_multifamily",72320626.0921783,3558799.19970417,134816.979036689,358221.739770532,74433.2163512111,8260112.81271935,267697.50949645,10433.128959395,15284959.4750786,36631603.3765106,468.622133280733,219783.793469489,129483.746545672,2771136.56036758,1036907.94153714,3581691.16430855
"building_singlefamily",721544703.181385,64120297.2137084,19397167.7870154,22469447.4177692,5826.75515127255,115939446.539303,1873100.58373765,1801376.25233092,0,403934120.574978,122503.49165078,7409954.64320916,4661235.94061196,13366731.9243654,30503203.3845098,35940485.7026515
"building_skyscraper",1470023,0,0,950.239944458008,0,39276.2690429688,8552.11645507812,0,0,1247760.984375,0,38959.5400390625,0,134523.64453125,0,0
"building",1211779981.4458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",22011783.1103516,21621489.6445312,0,0,0,0,0,390293.307327271,0,0,0,0,0,0,0,0
"other_parking",16784934.4521179,16451824.3762741,0,0,0,0,0,333113.892605305,0,0,0,0,0,0,0,0
"other_remaining_impervious",213744605.131372,209502626.821604,0,0,0,0,0,4241973.89137989,0,0,0,0,0,0,0,0
"other",252541299.660181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1041704.66455078,0,0,0,0,0,0,0,0,79559.1006355286,0,0,0,962145.647262573,0,0
"rail_other",155137.496299744,10085.5696794987,0,0,0,0,0,0,0,140477.411136627,252.139203168452,0,0,4322.3829729557,0,0
"rail_railway",68185271.791748,64435514.2901917,0,0,0,0,0,0,0,401593.542820454,0,0,0,1375451.10535645,0,1972816.86947894
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",1974.45190429688,128.360000610352,0,0,0,0,0,0,0,1787.87133789062,3.20900011062622,0,0,55.0114288330078,0,0
"rail_tunnel",190079.758178711,0,0,0,0,0,0,0,0,183174.099487305,0,0,0,6905.66276550293,0,0
"rail",69574172.1682129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",9705785.41046143,0,0,0,0,0,0,0,0,9019176.48748779,0,0,0,686608.372455597,0,0
"street_bridge_other",5272260.87468147,0,0,0,0,0,0,0,0,4771129.23611641,0,0,0,501131.490122557,0,0
"street_local",555207154.262928,537397562.3181,0,0,0,0,0,6258723.29019165,0,11551025.2125902,0,0,0,0,0,0
"street_motorway",106587120.188477,86686956.0899658,0,0,0,0,0,1076529.83661127,0,18823800.6064606,0,0,0,0,0,0
"street_motorway_elevated",2589416.3271637,2459946.77670288,0,0,0,0,0,129470.840477467,0,0,0,0,0,0,0,0
"street_other_elevated",1111957.06567097,1056360.17367125,0,0,0,0,0,55597.8272461742,0,0,0,0,0,0,0,0
"street_primary",4425502.14669037,3883214.22100067,0,0,0,0,0,61388.4160169959,0,480900.978042603,0,0,0,0,0,0
"street_secondary",131390388.923721,119227087.361038,0,0,0,0,0,1866835.65373063,0,10296090.8856297,0,0,0,0,0,0
"street_tertiary",85046757.8494873,79676473.8218231,0,0,0,0,0,1186547.64544845,0,4183680.01076603,0,0,0,0,0,0
"street_track",4071946.74482197,4043224.20206666,0,0,0,0,0,10084.711164128,0,18612.2431077834,0,0,0,0,0,0
"street_tunnel",710888.846923828,0,0,0,0,0,0,0,0,685062.005279541,0,0,0,25826.8404436111,0,0
"street",906118319.889965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
