"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1021198968.08594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",83591444.0035563,22337331.0038329,35.7205740966203,743523.887714413,0,2530466.37274552,29344.4564238818,263507.681539613,0,50582440.1810912,10290.5016221905,1712920.69897283,140953.371506491,5191495.49373437,0,49157.468219585
"building_commercial_innercity",8552016.73856735,420833.523898005,15942.3071846627,42360.2607799023,8801.84139760025,976771.167164326,31655.6529091522,1233.73392601404,1807469.1231122,4331743.56569576,55.4153011998278,25989.776345484,15311.6515051574,327691.232904434,122615.95373562,423540.517801642
"building_highrise",2627305.22967529,50254.7124738693,1230.94545760751,667.171830177307,0,198349.811641693,5290.78416836262,7611.18252158165,0,2188171.34197998,0,6121.88440310955,2226.83405315876,135326.490348816,3723.48358213902,28330.9375743866
"building_lightweight",26244323.8161011,0,301099.495597363,408222.02521348,0,1944989.4404459,0,0,0,19811207.3678741,0,0,0,2492178.54263306,0,1286621.91517735
"building_multifamily",48998799.4487915,2411166.55464935,91341.5037224293,242703.190284729,50430.1528890133,5596412.47528839,181371.166204453,7068.68041153625,10355900.937767,24818738.7367859,317.502008032985,148908.484075785,87728.1703774929,1877507.36071396,702528.492185593,2426676.41654778
"building_singlefamily",271539338.622925,43192725.4734344,4483414.65608597,5261096.75907326,1572.50132098503,39851646.4441223,632286.814650774,544307.857186556,15591436.5679893,130494160.101013,49811.9471658468,1830426.41562366,1538116.63594198,3658304.79809189,9378688.76877975,15031258.6970787
"building_skyscraper",111065.7421875,0,0,71.794189453125,0,2967.46948242188,646.144470214844,0,0,94273.0234375,0,2943.53930664062,0,10163.767578125,0,0
"building",441664276.260498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",5630132.36396599,5530305.25144958,0,0,0,0,0,99828.5076503456,0,0,0,0,0,0,0,0
"other_parking",6639695.15680695,6507922.92173004,0,0,0,0,0,131771.411083221,0,0,0,0,0,0,0,0
"other_remaining_impervious",78823386.658987,77259016.9618416,0,0,0,0,0,1564328.98746255,0,0,0,0,0,0,0,0
"other",91093226.155508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1096158.72680664,0,0,0,0,0,0,0,0,83717.9688205719,0,0,0,1012440.73989868,0,0
"rail_other",612057.51361084,39790.1651687622,0,0,0,0,0,0,0,554219.779945374,994.753846988082,0,0,17052.9007251263,0,0
"rail_railway",47123382.7218018,44531845.9034424,0,0,0,0,0,0,0,277543.742609024,0,0,0,950582.195739746,0,1363426.71657562
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",42771.5859375,2780.60083007812,0,0,0,0,0,0,0,38729.80078125,69.5149917602539,0,0,1191.68627929688,0,0
"rail_tunnel",1919978.10766602,0,0,0,0,0,0,0,0,1850224.62036133,0,0,0,69753.471572876,0,0
"rail",50794354.0228271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",4506635.07666016,0,0,0,0,0,0,0,0,4187826.70166016,0,0,0,318809.153320312,0,0
"street_bridge_other",3740924.3236084,0,0,0,0,0,0,0,0,3385347.20170975,0,0,0,355577.104689121,0,0
"street_local",231242825.074219,223842041.584961,0,0,0,0,0,2600821.28623962,0,4800040.57409668,0,0,0,0,0,0
"street_motorway",60792068.8388672,49441888.4921875,0,0,0,0,0,613999.587364197,0,10736163.7094727,0,0,0,0,0,0
"street_motorway_elevated",1198494.83483887,1138570.16369629,0,0,0,0,0,59924.7349243164,0,0,0,0,0,0,0,0
"street_other_elevated",788987.826668739,749538.525617599,0,0,0,0,0,39449.3953011036,0,0,0,0,0,0,0,0
"street_primary",28451594.2246094,24965221.6015625,0,0,0,0,0,394666.675537109,0,3091716.24786377,0,0,0,0,0,0
"street_secondary",48914663.6943359,44386532.4213867,0,0,0,0,0,694993.979606628,0,3833078.11169434,0,0,0,0,0,0
"street_tertiary",52626993.3586783,49303877.1662407,0,0,0,0,0,734237.600952916,0,2588866.2480669,0,0,0,0,0,0
"street_track",4675497.73239899,4643501.08876801,0,0,0,0,0,11243.7565685958,0,20751.4077427983,0,0,0,0,0,0
"street_tunnel",708595.606231689,0,0,0,0,0,0,0,0,682852.067016602,0,0,0,25743.5246944427,0,0
"street",437647158.402344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
