"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1132558290.91541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",265841463.473392,71038221.6795797,113.600079696805,2364580.49605949,0,8047500.84531766,93322.5251062494,838017.426406987,0,160864187.679939,32726.2955907679,5447506.95475757,448265.451575391,16510190.1763357,0,156332.755868953
"building_commercial_innercity",7405312.80508232,364405.720235348,13804.6846524626,36680.3798988909,7621.64191219397,845799.69609952,27411.1091159433,1068.30770702101,1565113.58839321,3750916.93527508,47.9848969936284,22504.9260658696,13258.5983644724,283752.57359612,106174.886218011,366749.759998441
"building_highrise",6844844.38244629,130927.155594349,3206.94653762877,1738.16363169998,0,516754.902212143,13783.9218066633,19829.1878159642,0,5700777.09347534,0,15949.1582211852,5801.50723573565,352562.206920624,9700.68482866883,73809.772768259
"building_lightweight",38326471.1588929,0,439718.762397226,596157.037031218,0,2840417.03773034,0,0,0,28931810.5710254,0,0,0,3639514.1635974,0,1878950.43505183
"building_multifamily",10018127.93927,492979.003463745,18675.3909093738,49622.3453580141,10310.7712280154,1144224.16861343,37082.578744173,1445.23912850022,2117329.85495758,5074355.58407593,64.9154823692515,30445.3744648695,17936.5980657935,383869.48377037,143636.577507496,496149.99327755
"building_singlefamily",178917493.700974,35652477.5072498,3739697.38253041,4259340.43684779,0,14068553.7684519,613174.459591878,143540.421747412,9146152.73719017,87504907.4469821,52922.530786087,1403624.87198853,1034128.35918052,1518372.19102488,6783051.08581487,12997320.96355
"building_skyscraper",52851817,0,0,34164.0466308594,0,1412101.734375,307474.859375,0,0,44860849,0,1400715.125,0,4836536.90625,0,0
"building",560206289.281315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",24684501.362257,24246791.5297699,0,0,0,0,0,437682.82172963,0,0,0,0,0,0,0,0
"other_parking",10609816.1209908,10399270.6983299,0,0,0,0,0,210562.640624046,0,0,0,0,0,0,0,0
"other_remaining_impervious",153091235.542848,150053540.015441,0,0,0,0,0,3038258.72659425,0,0,0,0,0,0,0,0
"other",188385416.78792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",297391.882293701,0,0,0,0,0,0,0,0,22712.9893703461,0,0,0,274678.85736084,0,0
"rail_other",139110.444610596,9043.64841270447,0,0,0,0,0,0,0,125965.029174805,226.090901076794,0,0,3875.84571647644,0,0
"rail_railway",29376524.0140381,27760927.0153809,0,0,0,0,0,0,0,173019.54734993,0,0,0,592588.017959595,0,849954.243480682
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",11527.3804931641,749.400230407715,0,0,0,0,0,0,0,10438.0747070312,18.7350006103516,0,0,321.171318054199,0,0
"rail_tunnel",587502.34197998,0,0,0,0,0,0,0,0,566158.073791504,0,0,0,21344.1586875916,0,0
"rail",30412047.6994629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",3047801.48876953,0,0,0,0,0,0,0,0,2832194.24560547,0,0,0,215608.144012451,0,0
"street_bridge_other",1241193.43173218,0,0,0,0,0,0,0,0,1123216.16744995,0,0,0,117976.156209946,0,0
"street_local",134320076.498384,129982776.086521,0,0,0,0,0,1524453.51427129,0,2813508.38811994,0,0,0,0,0,0
"street_motorway",79000422.8725586,64251070.423584,0,0,0,0,0,797908.949016571,0,13951891.3908691,0,0,0,0,0,0
"street_motorway_elevated",815778.359008789,774989.726928711,0,0,0,0,0,40788.9504623413,0,0,0,0,0,0,0,0
"street_other_elevated",261759.354118347,248671.386867523,0,0,0,0,0,13087.9660594463,0,0,0,0,0,0,0,0
"street_primary",16031582.4003906,14066912.2324219,0,0,0,0,0,222382.368530273,0,1742074.24072266,0,0,0,0,0,0
"street_secondary",42414614.5237732,38488012.6244583,0,0,0,0,0,602633.525614977,0,3323724.81890202,0,0,0,0,0,0
"street_tertiary",36565962.6688156,34256979.1835556,0,0,0,0,0,510158.624720693,0,1798780.17296696,0,0,0,0,0,0
"street_track",38932865.3626455,38652382.4475477,0,0,0,0,0,98569.6214811816,0,181919.613771687,0,0,0,0,0,0
"street_tunnel",930631.940551758,0,0,0,0,0,0,0,0,896821.589233398,0,0,0,33810.1977539062,0,0
"street",353564389.867192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
