"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1664496941.87704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",194451002.719706,51961244.7405729,83.0934497474855,1729590.13723528,0,5886388.0148716,68261.2751669772,612973.533683248,0,117665181.290066,23937.8383985716,3984607.3445999,327886.732973594,12076490.8340721,0,114350.450678336
"building_commercial_innercity",5775351.70079803,284197.559648514,10766.1694733053,28606.765293099,5944.06565704383,659633.703392506,21377.7180664688,833.165887084557,1220621.28407669,2925315.30914402,37.4230978188571,17551.4328704551,10340.2743383758,221296.658635736,82805.0700215101,286025.66906178
"building_highrise",331717.406066895,6345.041888237,155.416273459792,84.2355530560017,0,25043.177854538,668.001838505268,960.970064640045,0,276273.32699585,0,772.934742987156,281.154836088419,17086.0020999908,470.118305981159,3576.99760198593
"building_lightweight",51283576.0802786,0,588373.389332335,797699.227206036,0,3800669.4381685,0,0,0,38712731.6946105,0,0,0,4869923.17766944,0,2514165.30350007
"building_multifamily",22281688.0991821,1096452.55676806,41536.5654752553,110366.712247014,22932.5843352582,2544909.25311136,82476.6143777221,3214.40767712565,4709233.31543493,11286054.4151745,144.380702936818,67714.5432745516,39893.4491790831,853776.711581767,319467.37811169,1103505.28380966
"building_singlefamily",373435873.149479,27493750.4612656,11656470.107626,13540007.4514443,2498.41779913986,54459141.3279028,1079813.73388059,772400.599216461,0,216277216.013144,74358.7937179217,4196569.25875953,2453404.86295143,6812326.32564056,16174646.538166,18443342.6140148
"building_skyscraper",891533.21875,0,0,576.297431945801,0,23820.1071777344,5186.65130615234,0,0,756736.83203125,0,23628.0187988281,0,81585.3247070312,0,0
"building",648450675.163223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",14661550.0228882,14401571.4869919,0,0,0,0,0,259965.520892024,0,0,0,0,0,0,0,0
"other_parking",7978080.93891907,7819748.74645996,0,0,0,0,0,158333.060688496,0,0,0,0,0,0,0,0
"other_remaining_impervious",136778950.775528,134064419.550249,0,0,0,0,0,2714515.66790241,0,0,0,0,0,0,0,0
"other",159418562.357132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",960791.628723145,0,0,0,0,0,0,0,0,73379.4452257156,0,0,0,887412.163383484,0,0
"rail_other",49727.3703155518,3232.79878139496,0,0,0,0,0,0,0,45028.2624130249,80.8199363201857,0,0,1385.48466277122,0,0
"rail_railway",47247375.1704102,44649009.637207,0,0,0,0,0,0,0,278274.107814789,0,0,0,953081.821601868,0,1367014.05119324
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",26733.0690307617,0,0,0,0,0,0,0,0,25761.8471679688,0,0,0,971.221651077271,0,0
"rail",48284630.8555298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",6400521.03515625,0,0,0,0,0,0,0,0,5947733.94042969,0,0,0,452786.833496094,0,0
"street_bridge_other",6841221.84551239,0,0,0,0,0,0,0,0,6190961.77815247,0,0,0,650262.361478806,0,0
"street_local",416397450.968975,403042321.704576,0,0,0,0,0,4693341.24942648,0,8661969.1929647,0,0,0,0,0,0
"street_motorway",103031582.794678,83795333.5256348,0,0,0,0,0,1040619.93330002,0,18195881.4182129,0,0,0,0,0,0
"street_motorway_elevated",1705675.77294922,1620391.86352539,0,0,0,0,0,85283.7802963257,0,0,0,0,0,0,0,0
"street_other_elevated",1442863.22532463,1370720.10344124,0,0,0,0,0,72143.1575639248,0,0,0,0,0,0,0,0
"street_primary",101375208.990356,88952888.4395752,0,0,0,0,0,1406227.35129166,0,11016013.9961472,0,0,0,0,0,0
"street_secondary",68812108.7597656,62442297.3305664,0,0,0,0,0,977702.766471863,0,5392313.32562256,0,0,0,0,0,0
"street_tertiary",92881302.6157227,87016336.6254883,0,0,0,0,0,1295853.72009277,0,4569083.54515076,0,0,0,0,0,0
"street_track",9375829.9056778,9311014.87877655,0,0,0,0,0,22771.6333736442,0,42027.1786138564,0,0,0,0,0,0
"street_tunnel",78937.7618713379,0,0,0,0,0,0,0,0,76069.9093322754,0,0,0,2867.83562278748,0,0
"street",808342945.729824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
