"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",738862731.709473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",48448716.8862243,12946481.2780205,20.7032596907322,430938.508203708,0,1466631.39593995,17007.7299548844,152726.341793122,0,29317036.6714735,5964.26268214249,992790.520059496,81695.0576184802,3008935.08794326,0,28491.1425445031
"building_commercial_innercity",921401.819252014,45340.9802307487,1717.63838709518,4563.93286282569,948.318303443491,105238.195702314,3410.60818847269,132.923586848425,194738.326322556,466705.864427567,5.97049386025174,2800.16159135848,1649.69111680239,35305.7488140464,13210.7511932254,45632.6322118044
"building_highrise",288741.008056641,5522.99531412125,135.280977398157,73.322227165103,0,21798.6509342194,581.457388699055,836.469356715679,0,240480.113327026,0,672.795430958271,244.729179739952,14872.3875246048,409.211054384708,3113.57158756256
"building_lightweight",8204481.84835672,0,94129.6266604085,127618.117680866,0,608041.521312743,0,0,0,6193369.21432054,0,0,0,779103.543989271,0,402223.087872274
"building_multifamily",419581.413497925,20647.0531531572,782.166048992425,2078.29154630378,431.838479562663,47922.6246343851,1553.09868615121,60.5298050056444,88678.555177927,212525.204158783,2.71880130153295,1275.11789320596,751.224790543318,16077.2796015143,6015.81944561005,20779.8650586903
"building_singlefamily",64730310.2827263,13676337.1309524,862229.13122189,1048544.38591823,0,6313095.62053823,171300.199661877,30725.0773785664,8236716.33298874,27592209.9846902,17081.5923564867,294900.584465384,319479.872087568,434499.054685861,1772949.87829021,3960261.24621451
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"building",123013279.180059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",11395541.4160156,11193483.9375,0,0,0,0,0,202055.587905884,0,0,0,0,0,0,0,0
"other_parking",3258464.86869812,3193797.64953613,0,0,0,0,0,64667.5026023388,0,0,0,0,0,0,0,0
"other_remaining_impervious",35800825.6650391,35090301.0209656,0,0,0,0,0,710503.116086006,0,0,0,0,0,0,0,0
"other",50454803.5760498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",530650.50970459,0,0,0,0,0,0,0,0,40527.8734302521,0,0,0,490122.62701416,0,0
"rail_other",47469.3255157471,3085.99946880341,0,0,0,0,0,0,0,42983.5779953003,77.150026768446,0,0,1322.57126688957,0,0
"rail_railway",47657073.1640625,45036125.3085938,0,0,0,0,0,0,0,280687.019195557,0,0,0,961348.129516602,0,1378868.85681152
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",470901.555664062,0,0,0,0,0,0,0,0,453793.439453125,0,0,0,17108.0166778564,0,0
"rail",48706083.0471191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",2441045.37744141,0,0,0,0,0,0,0,0,2268360.49951172,0,0,0,172684.86907959,0,0
"street_bridge_other",1484048.80334473,0,0,0,0,0,0,0,0,1342989.11999512,0,0,0,141059.72592926,0,0
"street_local",241412325.830933,233798956.499756,0,0,0,0,0,2675293.11214256,0,4937483.50860214,0,0,0,0,0,0
"street_motorway",97070139.0625,78946139.34375,0,0,0,0,0,980406.318115234,0,17143054.265625,0,0,0,0,0,0
"street_motorway_elevated",649609.032958984,617128.639038086,0,0,0,0,0,32480.4518127441,0,0,0,0,0,0,0,0
"street_other_elevated",312996.551418304,297346.792900085,0,0,0,0,0,15649.8287272453,0,0,0,0,0,0,0,0
"street_primary",2987288.59375,2621242.96875,0,0,0,0,0,41438.2978515625,0,324616.76953125,0,0,0,0,0,0
"street_secondary",68979347.09375,62593552.8632812,0,0,0,0,0,980066.216674805,0,5405348.65649414,0,0,0,0,0,0
"street_tertiary",33990519.2906494,31844207.7640381,0,0,0,0,0,474226.986730576,0,1672092.74469376,0,0,0,0,0,0
"street_track",67003025.1988525,66581825.0187378,0,0,0,0,0,148015.194272995,0,273176.027429342,0,0,0,0,0,0
"street_tunnel",359272.205505371,0,0,0,0,0,0,0,0,346219.705810547,0,0,0,13052.4837551117,0,0
"street",516688424.266113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
