"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1839184186.58166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",203148867.826775,54285475.2367363,86.8102242741079,1806954.56822503,0,6149688.00553155,71314.6188754775,640391.875236005,0,122928403.698929,25008.5803159224,4162840.74212527,342553.12947078,12616676.3703938,0,119465.322778862
"building_commercial_innercity",6884079.13490081,338756.450645261,12833.0035338458,34098.552426653,7085.17625871627,786267.14245373,25481.7034988683,993.113232926757,1454949.59262171,3486904.94780326,44.6074148426624,20920.8728974643,12325.3496323014,263780.139206775,98701.5813498385,340935.51506111
"building_highrise",758787.600891113,14513.9782361984,355.507313206792,192.684741944075,0,57285.063873291,1528.02216124535,2198.17241358757,0,631962.000427246,0,1768.05109292269,643.128179579973,39083.4093132019,1075.37300038338,8182.21101999283
"building_lightweight",49216333.143851,0,564656.184087723,765544.234715866,0,3647465.27764688,0,0,0,37152226.5586283,0,0,0,4673617.99399354,0,2412819.55320584
"building_multifamily",20730990.2348709,1020144.58246565,38645.8115319312,102685.675688118,21336.5904123634,2367795.65034246,76736.6023177803,2990.69928426761,4381494.70643711,10500597.7861443,134.332506470644,63001.9350021183,37117.0369291231,794357.844772577,297233.806920648,1026706.09911013
"building_singlefamily",464833081.758089,52447570.4687848,9330286.36120018,10735133.7101696,4766.02519030876,85543949.175933,990631.468764476,1473444.56733838,0,246089041.08463,57473.8347241503,4066013.14190602,2922654.58421655,8817850.43032092,18891918.0392036,23462171.8652417
"building_skyscraper",186891.65625,0,0,120.808944702148,0,4993.3974609375,1087.27514648438,0,0,158634.375,0,4953.12939453125,0,17102.693359375,0,0
"building",745758994.790288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",19322011.9082031,18979426.1308594,0,0,0,0,0,342600.848358154,0,0,0,0,0,0,0,0
"other_parking",6990673.06028748,6851935.69025421,0,0,0,0,0,138736.851882935,0,0,0,0,0,0,0,0
"other_remaining_impervious",164601878.363968,161335106.13102,0,0,0,0,0,3266689.43224311,0,0,0,0,0,0,0,0
"other",190914483.403152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",993751.218200684,0,0,0,0,0,0,0,0,75896.7007255554,0,0,0,917854.668380737,0,0
"rail_other",321934.598564148,20929.1142115593,0,0,0,0,0,0,0,291512.049369812,523.226402431726,0,0,8969.531208992,0,0
"rail_railway",53468081.0835266,50527573.6902618,0,0,0,0,0,0,0,314912.29988873,0,0,0,1078567.01553822,0,1546998.01758194
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",24556.6713867188,1596.44018554688,0,0,0,0,0,0,0,22236.1267089844,39.9110078811646,0,0,684.18888092041,0,0
"rail_tunnel",183173.655151367,0,0,0,0,0,0,0,0,176518.848999023,0,0,0,6654.76309585571,0,0
"rail",54991481.980011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",6004865.33300781,0,0,0,0,0,0,0,0,5580064.75585938,0,0,0,424797.106414795,0,0
"street_bridge_other",4437018.91383362,0,0,0,0,0,0,0,0,4015277.83174896,0,0,0,421741.354877472,0,0
"street_local",492256056.442953,476501664.005514,0,0,0,0,0,5536474.82053678,0,10218043.3831294,0,0,0,0,0,0
"street_motorway",98092215.8053589,79778098.0266724,0,0,0,0,0,990732.010523796,0,17323564.2962494,0,0,0,0,0,0
"street_motorway_elevated",1600319.82110596,1520303.56884766,0,0,0,0,0,80015.9858894348,0,0,0,0,0,0,0,0
"street_other_elevated",935799.291519165,889009.434394836,0,0,0,0,0,46789.968023181,0,0,0,0,0,0,0,0
"street_primary",32943457.5634766,28906611.633667,0,0,0,0,0,456974.828103065,0,3579827.52759171,0,0,0,0,0,0
"street_secondary",67921186.1267016,61633630.7798862,0,0,0,0,0,965042.094326973,0,5322485.7251659,0,0,0,0,0,0
"street_tertiary",139459273.238129,130653209.497192,0,0,0,0,0,1945697.2685591,0,6860380.29261351,0,0,0,0,0,0
"street_track",3575929.81544822,3551462.96748984,0,0,0,0,0,8599.50089342217,0,15871.1753615949,0,0,0,0,0,0
"street_tunnel",293474.999343872,0,0,0,0,0,0,0,0,282812.921722412,0,0,0,10662.0480833054,0,0
"street",847519427.805382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
