"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";1,76147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";1761480;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";1761,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";1761480000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";207344000;45392600;3272690;1614430;0;5494460;63713,3;408531;0;108555000;22344,4;3719310;306053;38277500;0;216978
"building_commercial_innercity";6854150;286968;39420,6;33473,8;5991,78;486912;39721,4;414712;1230410;3588020;37,7702;23861,1;0;291283;83469,3;329870
"building_highrise";1811780;369541;172,619;0;329,947;147971;0;0;0;1144300;1264,8;3013,67;754,425;58897,2;0;85533,8
"building_lightweight";31669200;0;718436;487017;0;2320410;0;0;0;23635200;0;0;0;2973220;0;1534970
"building_multifamily";6332580;265131;36420,8;30926,6;5535,83;449860;36698,8;383154;1136780;3314990;34,896;22045,4;0;269117;77117,6;304768
"building_singlefamily";342798000;58597400;9716250;9358190;0;38396100;885344;0;43638200;145538000;110220;2246140;1812650;3396240;7342300;21761000
"building_skyscraper";1286250;0;0;831,442;0;34366,3;7482,99;0;0;1091780;0;34089,2;0;117707;0;0
"other_airport";22481200;22200100;0;0;0;0;0;281107;0;0;0;0;0;0;0;0
"other_parking";74303900;73374800;0;0;0;0;0;929103;0;0;0;0;0;0;0;0
"other_remaining_impervious";484770000;478708000;0;0;0;0;0;6061610;0;0;0;0;0;0;0;0
"rail_bridge";324576;0;0;0;0;0;0;0;0;24789,1;0;0;0;299786;0;0
"rail_other";438202;28487,7;0;0;0;0;0;0;0;396793;712,193;0;0;12209;0;0
"rail_railway";35221100;33284200;0;0;0;0;0;0;0;207443;0;0;0;710488;0;1019060
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";14112,2;917,44;0;0;0;0;0;0;0;12778,6;22,936;0;0;393,189;0;0
"rail_tunnel";410276;0;0;0;0;0;0;0;0;395370;0;0;0;14905,5;0;0
"street_bridge_motorway";3479140;0;0;0;0;0;0;0;0;3233020;0;0;0;246122;0;0
"street_bridge_other";1706350;0;0;0;0;0;0;0;0;1544160;0;0;0;162190;0;0
"street_local";248159000;241252000;0;0;0;0;0;2415500;0;4490920;0;0;0;0;0;0
"street_motorway";110934000;90199500;0;0;0;0;0;1113870;0;19620500;0;0;0;0;0;0
"street_motorway_elevated";927154;880797;0;0;0;0;0;46357,7;0;0;0;0;0;0;0;0
"street_other_elevated";359882;341888;0;0;0;0;0;17994,1;0;0;0;0;0;0;0;0
"street_primary";11940300;10475400;0;0;0;0;0;164752;0;1300150;0;0;0;0;0;0
"street_secondary";46876900;42533300;0;0;0;0;0;662544;0;3681060;0;0;0;0;0;0
"street_tertiary";43502100;40754000;0;0;0;0;0;603718;0;2144370;0;0;0;0;0;0
"street_track";76864200;76576900;0;0;0;0;0;100479;0;186811;0;0;0;0;0;0
"street_tunnel";670035;0;0;0;0;0;0;0;0;645692;0;0;0;24342,6;0;0
"building";598095000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";581555000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";36408300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";545419000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
