"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2102040455.14578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",221347193.885794,59148476.9303288,94.5868591362605,1968824.99819747,0,6700589.4461292,77703.1221166626,697759.720769256,0,133940566.757545,27248.8993164985,4535753.91580874,373239.804624293,13746901.5133433,0,130167.337744925
"building_commercial_innercity",4909169.03925705,241573.775748305,9151.46440559067,24316.3343177326,5052.57847938826,560702.275685623,18171.499450569,708.208169512975,1037553.04191896,2486578.12611318,31.8104075550145,14919.0811709873,8789.44832524401,188106.685214266,70386.0347092096,243127.665192865
"building_highrise",824006.954760551,15761.4842274785,386.063833264634,209.246419071453,0,62208.8348830342,1659.35891589336,2387.10988541134,0,686280.378693581,0,1920.01865556464,698.406394469086,42442.7084306777,1167.80348487105,8885.48714157194
"building_lightweight",45386998.6142869,0,520722.256048871,705979.620802239,0,3363669.61987481,0,0,0,34261546.8272591,0,0,0,4309979.75562397,0,2225087.54787254
"building_multifamily",16154496.149559,794942.079205513,30114.551269114,80017.2272589505,16626.414742738,1845091.4040556,59796.5140835643,2330.48596747685,3414255.86360931,8182536.34314346,104.677806639345,49093.8854472339,28923.2602306604,618998.920651674,231617.855132461,800055.165525913
"building_singlefamily",430876968.329253,52607383.7216394,8087782.2081694,9317414.69392964,4262.03769397869,78256735.2314222,906343.663575725,1330455.20126967,3436107.25940809,223636675.55286,54498.2091276851,3571179.74178689,2663054.41996997,7867411.6641839,17063259.35517,22074359.7782665
"building_skyscraper",52933.84765625,0,0,34.2170524597168,0,1414.29382324219,307.951995849609,0,0,44930.45703125,0,1402.88854980469,0,4844.0439453125,0,0
"building",719552320.607835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",25750941.3774414,25294364.2207031,0,0,0,0,0,456592.401908875,0,0,0,0,0,0,0,0
"other_parking",6524435.64321899,6394955.72431946,0,0,0,0,0,129484.015315771,0,0,0,0,0,0,0,0
"other_remaining_impervious",147568538.418438,144639889.097155,0,0,0,0,0,2928647.60060453,0,0,0,0,0,0,0,0
"other",179843939.19627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1418632.92428589,0,0,0,0,0,0,0,0,108346.607812881,0,0,0,1310286.36567688,0,0
"rail_other",734607.478485107,47757.1928215027,0,0,0,0,0,0,0,665189.470397949,1193.93046146631,0,0,20467.3675107956,0,0
"rail_railway",96278540.341423,90983790.6974182,0,0,0,0,0,0,0,567053.736620486,0,0,0,1942151.43518257,0,2785643.02462864
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",214058.838989258,0,0,0,0,0,0,0,0,206282.005126953,0,0,0,7776.83139038086,0,0
"rail",98645842.0025558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",7255597.37347412,0,0,0,0,0,0,0,0,6742316.54248047,0,0,0,513276.406665802,0,0
"street_bridge_other",7405513.63485336,0,0,0,0,0,0,0,0,6701616.6195755,0,0,0,703899.004710197,0,0
"street_local",742979403.187916,719094452.743132,0,0,0,0,0,8393738.32670343,0,15491376.3819572,0,0,0,0,0,0
"street_motorway",123950394.71582,100807897.524475,0,0,0,0,0,1251898.73584747,0,21890222.8996201,0,0,0,0,0,0
"street_motorway_elevated",1934540.33657837,1837812.00771332,0,0,0,0,0,96726.9805130959,0,0,0,0,0,0,0,0
"street_other_elevated",1561877.02921581,1483782.7937851,0,0,0,0,0,78093.8098155856,0,0,0,0,0,0,0,0
"street_primary",45973635.614563,40340175.6593018,0,0,0,0,0,637723.59971714,0,4995767.2878418,0,0,0,0,0,0
"street_secondary",89188635.6743317,80931502.184021,0,0,0,0,0,1267190.88719583,0,6989004.17243671,0,0,0,0,0,0
"street_tertiary",75344652.7077332,70587223.2107849,0,0,0,0,0,1051187.7001946,0,3706415.0431993,0,0,0,0,0,0
"street_track",7968541.10617936,7911495.73844951,0,0,0,0,0,20069.8611749164,0,37040.8546150762,0,0,0,0,0,0
"street_tunnel",437041.95010376,0,0,0,0,0,0,0,0,421164.115722656,0,0,0,15877.8867301941,0,0
"street",1103998799.21512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
