"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",730302976.520142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",46409770.5107574,12401628.2007866,19.8319693800331,412802.60270381,0,1404908.83974648,16291.9644421376,146298.850588232,0,28083251.2529907,5713.26001534984,951009.384981632,78257.0266708583,2882305.06787109,0,27292.1018961892
"building_commercial_innercity",4401857.71591187,216609.560693741,8205.75454297662,21803.4928650856,4530.44446305931,502759.282297134,16293.6544362307,635.02192081511,930332.618000031,2229616.19032288,28.5231114306953,13377.3432038426,7881.14708322287,168667.806728363,63112.3150765896,218002.77372551
"building_highrise",1026857.49330139,19641.5703444481,481.10336330533,260.75776591152,0,77523.1552848816,2067.85292205215,2974.75810414553,0,855226.189865112,0,2392.68041354418,870.337150916457,52891.0658550262,1455.28828790784,11072.8797302246
"building_lightweight",16302904.9798546,0,187042.247733533,253586.394790709,0,1208222.40769625,0,0,0,12306668.3519783,0,0,0,1548135.357095,0,799245.951535702
"building_multifamily",14408563.2482605,709026.519200325,26859.8341173828,71369.1693587899,14829.4674811959,1645678.16464233,53333.9035232663,2078.61125233769,3045248.45820236,7298178.30528259,93.3644675363321,43787.9498769045,25797.280669421,552098.826872349,206585.00565815,713587.121480942
"building_singlefamily",189977374.178406,40138745.8764954,2530560.87246561,3077377.34805107,0,18528334.7435875,502749.651665449,90175.1560891122,24173985.8827362,80980517.7618103,50132.8296642452,865505.006665111,937642.444134235,1275213.34819651,5203437.41071129,11622993.5911121
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"building",272527242.951599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",7286174.3420639,7156982.64458466,0,0,0,0,0,129192.002735853,0,0,0,0,0,0,0,0
"other_parking",7020110.71298218,6880790.43762207,0,0,0,0,0,139321.142177582,0,0,0,0,0,0,0,0
"other_remaining_impervious",74796159.3002071,73311746.1107712,0,0,0,0,0,1484405.11347508,0,0,0,0,0,0,0,0
"other",89102406.4362774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",391627.461845398,0,0,0,0,0,0,0,0,29910.1325082779,0,0,0,361717.29599762,0,0
"rail_other",968944.002746582,62991.4335536957,0,0,0,0,0,0,0,877379.256286621,1574.78317385912,0,0,26996.2034578323,0,0
"rail_railway",22233293.9931641,21010660.8409424,0,0,0,0,0,0,0,130948.520499706,0,0,0,448495.913956642,0,643281.547914505
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",1092.74743652344,71.0400085449219,0,0,0,0,0,0,0,989.485717773438,1.77600002288818,0,0,30.4457130432129,0,0
"rail_tunnel",19810.0952148438,0,0,0,0,0,0,0,0,19090.3858642578,0,0,0,719.70756149292,0,0
"rail",23614791.5779419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1111190.0390625,0,0,0,0,0,0,0,0,1032581.7734375,0,0,0,78607.9914550781,0,0
"street_bridge_other",1949414.80690002,0,0,0,0,0,0,0,0,1764122.17010498,0,0,0,185293.033082962,0,0
"street_local",184013603.047913,178226937.279846,0,0,0,0,0,2033606.21409225,0,3753199.89894295,0,0,0,0,0,0
"street_motorway",39422804.8459473,32062425.5001221,0,0,0,0,0,398171.635219574,0,6962260.18536377,0,0,0,0,0,0
"street_motorway_elevated",296483.284179688,281659.059570312,0,0,0,0,0,14824.1635131836,0,0,0,0,0,0,0,0
"street_other_elevated",411145.617595673,390588.553138733,0,0,0,0,0,20557.2819113731,0,0,0,0,0,0,0,0
"street_primary",8199084.4407959,7194361.69543457,0,0,0,0,0,113733.693655014,0,890957.835678101,0,0,0,0,0,0
"street_secondary",39100319.3417969,35480665.7890625,0,0,0,0,0,555549.237869263,0,3063998.04724121,0,0,0,0,0,0
"street_tertiary",56360498.3901978,52801674.8109741,0,0,0,0,0,786326.337613106,0,2772523.28748322,0,0,0,0,0,0
"street_track",14140546.3523445,14052987.5313072,0,0,0,0,0,30768.1086180806,0,56785.4211541712,0,0,0,0,0,0
"street_tunnel",53276.1268310547,0,0,0,0,0,0,0,0,51340.5844116211,0,0,0,1935.54008483887,0,0
"street",345058306.852417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
