"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",3046161653.6604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",296232430.155823,79159284.881321,126.586998562707,2634909.14320076,0,8967497.40699816,103991.218293309,933821.756011248,0,179254617.797173,36467.5938872974,6070267.9914155,499512.178702697,18397681.6486244,0,174204.84617687
"building_commercial_innercity",10555802.6955338,519437.158677101,19677.6779372394,52285.5231143236,10864.1617854573,1205634.52256441,39072.7600419372,1522.80495900102,2230969.40664768,5346693.70325851,68.3994367758423,32079.3207419813,18899.2571949884,404471.109155297,151345.55093658,522778.58874011
"building_highrise",6432592.60073853,123041.674499512,3013.79828700423,1633.47749197483,0,485631.843793869,12953.7485179305,18634.9197939634,0,5357432.71972656,0,14988.5812594891,5452.09236639738,331328.069389343,9116.42987763882,69364.3502345085
"building_lightweight",85740593.531239,0,983697.176326953,1333667.34719548,0,6354310.26635695,0,0,0,64723521.8921034,0,0,0,8141987.55485186,0,4203414.16522808
"building_multifamily",83822799.7848167,4124810.68307662,156258.905454732,415195.207039371,86271.4586920813,9573846.31549478,310273.685142867,12092.4777762885,17715953.3763313,42457683.6922703,543.1544065044,254739.405046456,150077.513470199,3211873.21346867,1201823.1218999,4151342.08289969
"building_singlefamily",905359138.253895,191285758.311859,12059669.9884207,14665597.3627602,0,88298906.3796244,2395911.09460931,429739.948040351,115203922.428097,385921734.663799,238913.828549242,4124663.87132971,4468443.86115567,6077174.19734642,24797586.2273941,55390678.1240122
"building_skyscraper",9073610.1875,0,0,5865.28691101074,0,242429.965576172,52787.3228149414,0,0,7701716.2578125,0,240474.994628906,0,830337.858398438,0,0
"building",1397216346.37773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",23701278.825943,23281027.2031708,0,0,0,0,0,420249.950100541,0,0,0,0,0,0,0,0
"other_parking",15492920.3300133,15185443.8070793,0,0,0,0,0,307472.690255821,0,0,0,0,0,0,0,0
"other_remaining_impervious",272792073.812335,267378178.152087,0,0,0,0,0,5413830.32974091,0,0,0,0,0,0,0,0
"other",311986299.64931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1878473.21484375,0,0,0,0,0,0,0,0,143466.418456078,0,0,0,1735006.90740967,0,0
"rail_other",221086.305618286,14372.920712471,0,0,0,0,0,0,0,200194.318283081,359.32311680913,0,0,6159.81992912292,0,0
"rail_railway",93951834.2295685,88784822.1620331,0,0,0,0,0,0,0,553349.248381913,0,0,0,1895213.62087131,0,2718323.22190666
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",2982.90502929688,193.920013427734,0,0,0,0,0,0,0,2701.02880859375,4.84800052642822,0,0,83.1085662841797,0,0
"rail_tunnel",535451.343231201,0,0,0,0,0,0,0,0,515998.070526123,0,0,0,19453.1223449707,0,0
"rail",96589816.3394928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",6850396.44433594,0,0,0,0,0,0,0,0,6365783.35742188,0,0,0,484611.996307373,0,0
"street_bridge_other",6390335.56305695,0,0,0,0,0,0,0,0,5782928.82972717,0,0,0,607405.329400301,0,0
"street_local",772927047.566162,748615437.959595,0,0,0,0,0,8543457.39858055,0,15767689.3027592,0,0,0,0,0,0
"street_motorway",148478273.548584,120756751.180756,0,0,0,0,0,1499631.05326366,0,26221981.3233719,0,0,0,0,0,0
"street_motorway_elevated",1832180.78356934,1740571.3972168,0,0,0,0,0,91609.0669021606,0,0,0,0,0,0,0,0
"street_other_elevated",1347767.60881853,1280379.37493134,0,0,0,0,0,67388.375079751,0,0,0,0,0,0,0,0
"street_primary",92717520.5521069,81356212.48283,0,0,0,0,0,1286130.28273073,0,10075239.1050332,0,0,0,0,0,0
"street_secondary",87377128.6700439,79289127.5376587,0,0,0,0,0,1241479.99289036,0,6847100.79951477,0,0,0,0,0,0
"street_tertiary",115242442.178955,107965983.417053,0,0,0,0,0,1607837.49606323,0,5669117.44758224,0,0,0,0,0,0
"street_track",5960650.27136612,5923722.201828,0,0,0,0,0,12989.2026149854,0,23972.8307420015,0,0,0,0,0,0
"street_tunnel",1244387.31665039,0,0,0,0,0,0,0,0,1199178.91716003,0,0,0,45209.0344471931,0,0
"street",1240368557.08801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
