"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";3,9999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";3999900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";3999,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";3999900000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";338405000;74085100;5341350;2634910;0;8967490;103986;666762;0;177172000;36468,2;6070270;499508;62472700;0;354129
"building_commercial_innercity";12427900;520328;71477;60694,4;10864,2;882865;72022,5;751952;2230970;6505760;68,4845;43264,7;0;528151;151346;598116
"building_highrise";7701430;1570830;733,76;0;1402,53;628989;0;0;0;4864140;5376,36;12810,4;3206,88;250358;0;363584
"building_lightweight";86724300;0;1967400;1333670;0;6354310;0;0;0;64723500;0;0;0;8141990;0;4203420
"building_multifamily";98688800;4131890;567593;481970;86272;7010760;571925;5971190;17716000;51661800;543,83;343562;0;4194010;1201820;4749600
"building_singlefamily";1070430000;190510000;27927400;27382600;0;121135000;2732180;0;141875000;446401000;341334;6508530;5535160;10430500;23871000;65783100
"building_skyscraper";9073610;0;0;5865,24;0;242430;52787,2;0;0;7701720;0;240475;0;830338;0;0
"other_airport";35482300;35038600;0;0;0;0;0;443674;0;0;0;0;0;0;0;0
"other_parking";47682300;47086000;0;0;0;0;0;596224;0;0;0;0;0;0;0;0
"other_remaining_impervious";839566000;829068000;0;0;0;0;0;10498000;0;0;0;0;0;0;0;0
"rail_bridge";1878470;0;0;0;0;0;0;0;0;143466;0;0;0;1735010;0;0
"rail_other";221086;14372,9;0;0;0;0;0;0;0;200194;359,323;0;0;6159,82;0;0
"rail_railway";93951700;88784800;0;0;0;0;0;0;0;553350;0;0;0;1895210;0;2718320
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";2982,91;193,92;0;0;0;0;0;0;0;2701,03;4,848;0;0;83,1086;0;0
"rail_tunnel";535451;0;0;0;0;0;0;0;0;515998;0;0;0;19453,1;0;0
"street_bridge_motorway";6850390;0;0;0;0;0;0;0;0;6365780;0;0;0;484612;0;0
"street_bridge_other";6390340;0;0;0;0;0;0;0;0;5782930;0;0;0;607405;0;0
"street_local";885549000;861300000;0;0;0;0;0;8480860;0;15767700;0;0;0;0;0;0
"street_motorway";148259000;120548000;0;0;0;0;0;1488640;0;26222000;0;0;0;0;0;0
"street_motorway_elevated";1832180;1740570;0;0;0;0;0;91609;0;0;0;0;0;0;0;0
"street_other_elevated";1347770;1280380;0;0;0;0;0;67388,4;0;0;0;0;0;0;0;0
"street_primary";92529000;81177100;0;0;0;0;0;1276710;0;10075200;0;0;0;0;0;0
"street_secondary";87195200;79115700;0;0;0;0;0;1232390;0;6847100;0;0;0;0;0;0
"street_tertiary";115007000;107742000;0;0;0;0;0;1596060;0;5669110;0;0;0;0;0;0
"street_track";10917400;10880500;0;0;0;0;0;12894,1;0;23972,7;0;0;0;0;0;0
"street_tunnel";1244390;0;0;0;0;0;0;0;0;1199180;0;0;0;45209;0;0
"building";1623450000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";922731000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";96589700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";1357120000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
