"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";3,21817;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";3218170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";3218,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";3218170000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";320431000;70150200;5057650;2494960;0;8491200;98463,2;631348;0;167762000;34531,3;5747860;472978;59154500;0;335320
"building_commercial_innercity";5786920;242286;33282,6;28261,8;5058,82;411097;33536,6;350139;1038830;3029340;31,8891;20145,8;0;245928;70472,7;278507
"building_highrise";1583830;323047;150,9;0;288,435;129354;0;0;0;1000330;1105,67;2634,51;659,506;51487;0;74772,3
"building_lightweight";74434100;0;1688580;1144670;0;5453800;0;0;0;55551200;0;0;0;6988140;0;3607720
"building_multifamily";18307500;766497;105293;89409,1;16004,1;1300550;106097;1107700;3286450;9583650;100,885;63733,3;0;778021;222948;881087
"building_singlefamily";639981000;52648400;31900900;15488000;6376,47;115837000;1448670;1050350;0;331337000;78321,5;5732490;4164680;11869500;31726100;36693000
"building_skyscraper";4061480;0;0;2625,37;0;108515;23628,3;0;0;3447400;0;107640;0;371672;0;0
"other_airport";40329900;39825600;0;0;0;0;0;504290;0;0;0;0;0;0;0;0
"other_parking";46732800;46148500;0;0;0;0;0;584352;0;0;0;0;0;0;0;0
"other_remaining_impervious";747969000;738617000;0;0;0;0;0;9352690;0;0;0;0;0;0;0;0
"rail_bridge";1343950;0;0;0;0;0;0;0;0;102643;0;0;0;1241310;0;0
"rail_other";592680;38530,4;0;0;0;0;0;0;0;536673;963,259;0;0;16513;0;0
"rail_railway";67834300;64103700;0;0;0;0;0;0;0;399525;0;0;0;1368370;0;1962660
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";45418,5;2952,68;0;0;0;0;0;0;0;41126,6;73,817;0;0;1265,43;0;0
"rail_tunnel";39256,9;0;0;0;0;0;0;0;0;37830,7;0;0;0;1426,22;0;0
"street_bridge_motorway";7271890;0;0;0;0;0;0;0;0;6757460;0;0;0;514430;0;0
"street_bridge_other";7883090;0;0;0;0;0;0;0;0;7133800;0;0;0;749292;0;0
"street_local";807627000;784712000;0;0;0;0;0;8014680;0;14901000;0;0;0;0;0;0
"street_motorway";142155000;115586000;0;0;0;0;0;1427360;0;25142500;0;0;0;0;0;0
"street_motorway_elevated";1938580;1841650;0;0;0;0;0;96928,8;0;0;0;0;0;0;0;0
"street_other_elevated";1662600;1579470;0;0;0;0;0;83130;0;0;0;0;0;0;0;0
"street_primary";78917300;69235300;0;0;0;0;0;1088900;0;8593080;0;0;0;0;0;0
"street_secondary";80754500;73271800;0;0;0;0;0;1141360;0;6341340;0;0;0;0;0;0
"street_tertiary";105292000;98640800;0;0;0;0;0;1461240;0;5190220;0;0;0;0;0;0
"street_track";14813300;14755900;0;0;0;0;0;20080,7;0;37334,1;0;0;0;0;0;0
"street_tunnel";380361;0;0;0;0;0;0;0;0;366543;0;0;0;13818,7;0;0
"building";1064590000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";835032000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";69855600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";1248700000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
