"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";2,38219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";2382190;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";2382,19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";2382190000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";235506000;51558100;3717200;1833710;0;6240750;72367,1;464020;0;123299000;25379,3;4224480;347623;43476600;0;246449
"building_commercial_innercity";8233280;344710;47352,4;40209,2;7197,39;584885;47713,8;498157;1477980;4309970;45,3699;28662,2;0;349892;100264;396243
"building_highrise";923545;188372;87,9915;0;168,189;75427,5;0;0;0;583301;644,725;1536,21;384,565;30022,6;0;43600,4
"building_lightweight";50373500;0;1142750;774656;0;3690880;0;0;0;37594400;0;0;0;4729250;0;2441540
"building_multifamily";24776200;1037320;142496;121000;21658,9;1760080;143584;1499090;4447650;12969900;136,53;86252,3;0;1052920;301722;1192400
"building_singlefamily";499159000;39914200;24851600;12577700;4834,18;88835200;1160620;796298;0;260722000;64050,1;4564100;3254510;9240380;24052400;29120800
"building_skyscraper";190396;0;0;123,073;0;5087,02;1107,66;0;0;161609;0;5046;0;17423,4;0;0
"other_airport";29347900;28980900;0;0;0;0;0;366969;0;0;0;0;0;0;0;0
"other_parking";21836300;21563300;0;0;0;0;0;273044;0;0;0;0;0;0;0;0
"other_remaining_impervious";528417000;521810000;0;0;0;0;0;6607380;0;0;0;0;0;0;0;0
"rail_bridge";1008640;0;0;0;0;0;0;0;0;77033,9;0;0;0;931607;0;0
"rail_other";327928;21318,8;0;0;0;0;0;0;0;296940;532,969;0;0;9136,61;0;0
"rail_railway";54291700;51305900;0;0;0;0;0;0;0;319763;0;0;0;1095180;0;1570830
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";24921,5;1620,16;0;0;0;0;0;0;0;22566,5;40,504;0;0;694,354;0;0
"rail_tunnel";185345;0;0;0;0;0;0;0;0;178611;0;0;0;6733,64;0;0
"street_bridge_motorway";6103420;0;0;0;0;0;0;0;0;5671650;0;0;0;431769;0;0
"street_bridge_other";4500360;0;0;0;0;0;0;0;0;4072600;0;0;0;427762;0;0
"street_local";564654000;548713000;0;0;0;0;0;5575340;0;10365700;0;0;0;0;0;0
"street_motorway";99477200;80884200;0;0;0;0;0;998836;0;17594200;0;0;0;0;0;0
"street_motorway_elevated";1625930;1544640;0;0;0;0;0;81296,7;0;0;0;0;0;0;0;0
"street_other_elevated";949158;901700;0;0;0;0;0;47457,9;0;0;0;0;0;0;0;0
"street_primary";33420900;29320700;0;0;0;0;0;461140;0;3639110;0;0;0;0;0;0
"street_secondary";68783500;62410000;0;0;0;0;0;972165;0;5401300;0;0;0;0;0;0
"street_tertiary";141171000;132253000;0;0;0;0;0;1959160;0;6958810;0;0;0;0;0;0
"street_track";6604410;6579560;0;0;0;0;0;8690,67;0;16157,7;0;0;0;0;0;0
"street_tunnel";296823;0;0;0;0;0;0;0;0;286039;0;0;0;10783,7;0;0
"building";819162000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";579601000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";55838500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";927587000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
